|                                                                fullyQualifiedName                                                                |      pattern       |
| org.apache.hadoop.hdfs.TestFileAppend4.testCompleteOtherLeaseHoldersFile                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend4.testUpdateNeededReplicationsForAppendedFile                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppendRestart.testAppendWithPipelineRecovery                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppendRestart.writeAndAppend                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestFileCorruption.updateAllStorages                                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestFsShellPermission$TestDeleteHelper.execute                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestFsShellPermission.testDelete                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.TestHDFSPolicyProvider.initialize                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestHDFSPolicyProvider.testPolicyProviderForServer                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestHDFSTrash.getPerUserTrash                                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestHdfsAdmin.testHdfsAdminStoragePolicies                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestHdfsAdmin.testListOpenFiles                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestInjectionForSimulatedStorage.testInjection                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecovery.testBlockSynchronization                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecovery.testLeaseRecoveryAndAppend                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecovery.testLeaseRecoveryEmptyCommittedLastBlock                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecovery2.recoverLeaseUsingCreate2                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecoveryStriped$BlockLengths.toString                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecoveryStriped.getIndexToStop                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecoveryStriped.runTest                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.TestLeaseRecoveryStriped.writePartialBlocks                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestMaintenanceState.checkFile                                                                                            | unbound-collection |
