|                                                                                  fullyQualifiedName                                                                                   |      pattern       |
| org.apache.ignite.internal.GridTaskExecutionSelfTest.testJobIdCollision                                                                                                               | unbound-collection |
| org.apache.ignite.internal.GridTaskFailoverAffinityRunTest.nodeRestart                                                                                                                | unbound-collection |
| org.apache.ignite.internal.GridTaskFailoverSelfTest$GridFailoverTestTask.split                                                                                                        | unbound-collection |
| org.apache.ignite.internal.GridTaskFutureImplStopGridSelfTest$GridStopTestTask.split                                                                                                  | unbound-collection |
| org.apache.ignite.internal.GridTaskListenerSelfTest$TestTask.split                                                                                                                    | unbound-collection |
| org.apache.ignite.internal.GridTaskResultCacheSelfTest$GridAbstractCacheTestTask.split                                                                                                | unbound-collection |
| org.apache.ignite.internal.GridTaskSessionImpl.addAttributeListener                                                                                                                   | unbound-collection |
| org.apache.ignite.internal.GridTaskTimeoutSelfTest$GridTaskTimeoutTestTask.split                                                                                                      | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectAbstractTest.reconnectClientNodes                                                                                                     | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCacheTest$TestCommunicationSpi.blockMessages                                                                                          | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCacheTest$TestCommunicationSpi.sendMessage                                                                                            | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCacheTest.reconnectMultinode                                                                                                          | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCacheTest.testReconnectClusterRestartMultinode                                                                                        | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCollectionsTest.queueReconnectInProgress                                                                                              | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCollectionsTest.queueReconnectRemoved                                                                                                 | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCollectionsTest.setReconnect                                                                                                          | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCollectionsTest.setReconnectInProgress                                                                                                | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCollectionsTest.setReconnectRemove                                                                                                    | unbound-collection |
| org.apache.ignite.internal.IgniteClientReconnectCollectionsTest.testCollectionsReconnectClusterRestart                                                                                | unbound-collection |
| org.apache.ignite.internal.IgniteClientRejoinTest.testClientsReconnect                                                                                                                | unbound-collection |
| org.apache.ignite.internal.IgniteClientRejoinTest.testClientsReconnectAfterStart                                                                                                      | unbound-collection |
